parameters,dist_min,dist_max,weights,initialGuess,OF:109561.91061668118
krb00,-10.0,-0.1,1.0,-6.0,-6.887150903314721
krb01,-10.0,-0.1,1.0,-3.45,-2.6713836798918917
krb02,-10.0,-0.1,1.0,-2.95,-2.22865446268184
krb03,-10.0,-0.1,1.0,-4.65,-4.86607029822195
krb10,-10.0,-0.1,1.0,-4.88,-4.985528052262613
krb11,-10.0,-0.1,1.0,-5.15,-5.3289038838879135
krb12,-10.0,-0.1,1.0,-6.65,-6.125290362620896
krb20,-10.0,-0.1,1.0,-8.2,-9.626670262087178
krb21,-10.0,-0.1,1.0,-6.2,-4.9147977820474535
krb22,-10.0,-0.1,1.0,-3.2,-3.3539341187319645
