parameters,dist_min,dist_max,weights,initialGuess,OF:62.38130138485926,OF:67.55374676417381,OF:68.40165155878607,OF:68.29987710002243,OF:72.85209075746275,OF:61.8079861111677,OF:64.52635143548787,OF:61.48267280030353,OF:61.5918091895898,OF:68.2800945406683
nfall00,1.0e-7,0.2,1.0,0.011,2.3193521015856784e-7,1.8999231739676184e-5,1.3955564254971563e-7,0.005106259752560913,0.015693276991693733,7.447631824348471e-7,0.0033586095259894354,9.888068849365468e-6,4.943589526420418e-5,0.008451461168448152
nfall01,1.0e-7,0.2,1.0,0.028,1.243778203921992e-7,0.13103983656062124,0.08546330456529677,3.0107899961340227e-7,2.1997470238527126e-6,0.15195215105696397,6.538957078391602e-7,9.054037838285993e-7,8.826274745571575e-7,4.819917044782751e-6
nfall02,1.0e-7,0.2,1.0,0.028,0.12505897159761606,0.19998652727257912,6.518281291004832e-7,3.023439884607145e-5,0.0330504032501349,0.02782687993377996,3.222680531875069e-7,6.622429104097697e-7,0.06001247569781647,3.7962795971952355e-7
nfall03,1.0e-7,0.2,1.0,0.009,0.18193358315897318,8.495459245018958e-7,0.0487775734759569,0.019779686320078482,0.14372529503125087,0.1254286666955707,0.1759667037947264,4.666120389689602e-7,1.1775439275645015e-7,0.06567987750075391
nfall10,1.0e-7,0.2,1.0,0.001,1.3209456348957318e-7,0.10469644254969247,1.684501587287777e-7,2.2465306866707386e-7,0.04878487393421328,0.028942261822092846,1.852686576832244e-7,4.16216070047884e-5,1.3976726543319792e-6,7.183784854888415e-7
nfall11,1.0e-7,0.2,1.0,0.001,0.005838258714328791,0.04496049982166134,3.081902594539042e-7,1.1584837102692215e-7,1.2332060460646328e-5,1.0021781853555993e-7,0.023651646285231254,0.00021254688116548618,2.58668071344303e-7,1.0046849425220233e-7
nfall12,1.0e-7,0.2,1.0,0.006,0.18037417532995256,5.31367882218786e-7,0.014626419461039807,1.8781502202600303e-7,0.05438024921966074,0.014916617407924009,0.12145611161614613,0.00307777262933641,0.026745185169170918,1.148786384176385e-7
nfall20,1.0e-7,0.09,1.0,0.011,0.012497068118602711,2.668392203632282e-7,0.020206592159310498,0.08805617418101094,0.08376893264709596,6.84966147227703e-7,1.7068705118893472e-7,1.821693875313933e-5,2.5234105791260787e-7,0.08880824243362859
nfall21,1.0e-7,0.09,1.0,0.008,6.635501119478485e-6,3.1530786698616713e-7,1.3748475951509605e-7,0.013712946078673901,0.004460193364834743,1.0576871531168222e-7,0.08997543796901528,2.9453255590892293e-5,1.739183931883318e-7,0.05161447908737176
nfall22,1.0e-7,0.09,1.0,0.008,5.259507278947456e-7,2.3588277137248733e-7,1.0975745551365064e-7,1.0741042734555446e-7,1.0954001137519491e-7,0.089897548675263,0.0010339330601821914,0.01858693021199097,1.3088211486039255e-7,8.647465093876926e-7
