parameters,dist_min,dist_max,target_weights,initialGuess,OF:369555.87822186167,OF:114535.17508077319,OF:147663.52911913052,OF:556130.9199384744,OF:235041.71609119768,OF:351218.1969135204,OF:1.0699917800672655e6,OF:309925.8562824165,OF:184454.11101425622,OF:156511.7919414044
nmax0,1.5,15.0,1.0,3.0,14.914752288020825,1.791451659480996,8.314681387818258,10.397413664611044,1.834423857395647,13.2724668119979,14.991388314507702,2.011633168817499,2.2876988435094456,10.505517660220578
nmax1,1.0,10.0,1.0,2.0,3.671288059761828,1.0047811860926403,8.135354646100303,1.0119429659081578,1.1256852269425524,7.381738135831438,6.562024082902073,8.62403377951889,3.4748168779963176,2.3820490839679564
nmax2,3.25,32.5,1.0,6.5,4.341030666498355,3.999531539729953,4.333204246877403,4.562420306387033,3.901875523980154,11.75351813235653,29.101134332388494,5.631958515217537,4.408125142867241,4.145135838039397
nmax3,0.5,5.0,1.0,1.0,4.651016482782404,0.8805595660104706,0.8053366406132987,4.866506078879205,3.4900662804905718,4.7444474325895625,3.144540726007676,1.3216234657157278,4.779161557337649,1.2555323295925944
krb00,-30.0,-3.0,1.0,-6.0,-26.707763322340664,-16.814618939619518,-25.1716978238971,-13.784482988817615,-19.266464638320066,-4.800832948310447,-29.484471659882324,-28.678517036526326,-29.340906670225255,-28.58468782071803
krb01,-15.0,-1.5,1.0,-3.0,-1.65506815128904,-2.183684320321504,-1.9251023376502001,-12.837373303772772,-4.931018822038384,-4.534814037053835,-14.956819206351264,-12.217876550038646,-10.811170422833026,-14.783639058328909
krb02,-15.0,-1.5,1.0,-3.0,-13.86943321715651,-13.059483467509912,-7.097505634414544,-13.709836630963686,-2.9527385542756903,-14.747570513789121,-4.791209100400543,-9.297020598580298,-3.814610729052923,-2.0149363190675533
krb03,-25.0,-2.5,1.0,-5.0,-8.89072859789233,-3.0493359180623507,-22.371088218089834,-8.807156688715079,-24.64094899499368,-14.363179361502665,-20.591843654620227,-11.62796274634742,-6.217535875308297,-12.244127485530525
krb10,-25.0,-2.5,1.0,-5.0,-2.5979447835201803,-24.776728065156597,-2.890808193140664,-24.99240140944769,-19.126945387876038,-5.335975718537892,-23.623112130481548,-6.364385687455048,-23.568548733404658,-22.67762189993097
krb11,-20.0,-2.0,1.0,-4.0,-2.5215833151834524,-4.279996343646705,-3.1798559458614974,-16.92675243634804,-19.66632178144788,-2.0008273884433194,-19.12241122094623,-2.365053898006032,-4.220592231246213,-2.5984291685253744
krb12,-30.0,-3.0,1.0,-6.0,-29.45160692965441,-15.694454954548117,-9.629727954047095,-21.27893376397338,-27.883613884311934,-5.058934009055108,-5.231533467289918,-6.1372134259298115,-25.578405417814228,-29.98803562445154
krb20,-40.0,-4.0,1.0,-8.0,-38.18609475976153,-27.46360064156209,-39.04085331730647,-30.940771505882463,-34.64163000442936,-38.90221284196198,-36.35915636183591,-32.904728863390794,-39.366727896822766,-32.974655683610635
krb21,-30.0,-3.0,1.0,-6.0,-3.0049903648447263,-8.286765897498306,-18.907601008053753,-8.105578772958395,-27.496592415543628,-11.124672753826346,-9.00154939004575,-28.073470141056532,-29.842725169663847,-29.29587761344394
krb22,-25.0,-2.5,1.0,-5.0,-2.7567565288661626,-4.032076316445238,-4.067392040230807,-4.054865854001932,-4.432492986087848,-2.5064767106664405,-2.5523140777174014,-3.4956013953752496,-3.6831831614740054,-3.981414744845427
