parameters,dist_min,dist_max,target_weights,initialGuess,OF:15917.901374712368,OF:50764.991115889374
nmax0,15.0,150.0,1.0,30.0,41.61630217248825,67.44320174340021
nmax1,8.0,80.0,1.0,16.0,64.76015405381813,50.208586601058386
nmax2,55.0,550.0,1.0,110.0,156.47701549823876,183.2093094683698
nmax3,6.5,65.0,1.0,13.0,18.042824465646408,35.18171204730072
krb00,-250.0,-25.0,1.0,-50.0,-50.45367698608658,-75.95302798688616
krb01,-250.0,-25.0,1.0,-50.0,-128.47521836061787,-108.44892389388161
krb02,-150.0,-15.0,1.0,-30.0,-65.36459133092656,-143.38238293777815
krb03,-100.0,-10.0,1.0,-20.0,-39.20697267263506,-20.92488010088259
krb10,-50.0,-5.0,1.0,-10.0,-8.773839347484916,-37.066596703175335
krb11,-50.0,-5.0,1.0,-10.0,-35.96413102834704,-17.324464281310696
krb12,-250.0,-25.0,1.0,-50.0,-137.8886449910383,-156.01177149967748
krb20,-225.0,-22.5,1.0,-45.0,-27.59490265747209,-83.84722172990729
krb21,-35.0,-3.5,1.0,-7.0,-8.45377543105295,-8.373780749373505
krb22,-25.0,-2.5,1.0,-5.0,-18.66722580156981,-23.40184013223485
cfall00,0.00075,0.0075,1.0,0.0015,0.000986620844378399,0.003856094127336194
cfall01,0.025,0.25,1.0,0.05,0.025654726560282747,0.027824376367500833
cfall02,0.0375,0.375,1.0,0.075,0.23557854085244959,0.06702257442485349
cfall03,0.003,0.03,1.0,0.006,0.01669185911696656,0.005803615316177298
cfall10,0.4,4.0,1.0,0.8,0.5918884502681336,2.8136221119418914
cfall11,0.1,1.0,1.0,0.2,0.14380482414342127,0.6975129368565438
cfall12,0.002,0.02,1.0,0.004,0.003016620250091495,0.005525543358929075
cfall20,0.0065,0.065,1.0,0.013,0.007850687139882549,0.012108388996575545
cfall21,0.05,0.5,1.0,0.1,0.11341078643122249,0.12700186209600733
cfall22,0.0075,0.075,1.0,0.015,0.011054724930169828,0.019560494512212402
nfall00,0.005,0.05,0.0,0.01,0.008156423652241092,0.046512474308142975
nfall01,0.004,0.04,0.0,0.008,0.015922202390757364,0.011117510811002112
nfall02,0.004,0.04,0.0,0.008,0.014118183043851637,0.0062384180543914826
nfall10,0.0055,0.05499999999999999,0.0,0.011,0.020273630199547255,0.052570394014957965
nfall11,0.004,0.04,0.0,0.008,0.03865150305632352,0.026977624805690423
nfall12,0.004,0.04,0.0,0.008,0.00741518916443347,0.0063482697995591655
nfall20,4.0e-5,0.0004,0.0,8.0e-5,0.0003871285615539783,4.2128365496340835e-5
nfall21,4.0e-5,0.0004,0.0,8.0e-5,0.00021318966826149762,0.0002857327744541935
nfall22,4.0e-5,0.0004,0.0,8.0e-5,6.910215308005833e-5,4.3047808275846125e-5
nfall23,4.0e-5,0.0004,0.0,8.0e-5,0.00010628350330071981,0.000348651205773082
