observation,model,model_1
0.91,1.61639,1.63976
30.87,57.26574,56.75133
498.69,576.57678,502.16404
0.41,0.82452,0.83373
2.47,1.856,1.8572
11.82,0.0,1.0e-5
0.99,1.53653,1.04073
8.33,4.15645,2.47213
93.25,11.87666,0.14545
13.28,3.00869,11.73614
131.74,98.67358,65.76942
5469.13,5478.59546,5474.21016
731.99,741.68709,747.06016
5.6,17.59083,16.41144
0.05,0.03491,0.0349
0.16,0.0,0.0
0.01,0.0305,0.02066
0.41,0.1767,0.1051
2.37,0.26199,0.00321
0.11,0.05107,0.19921
7.04,4.56993,3.04602
107.98,93.7543,93.72752
1.08,12.58919,12.6804
0.1,0.28229,0.26336
