parameters,dist_min,dist_max,target_weights,initialGuess,OF:14282.75359952951,OF:381925.0054191076
nmax0,1.5,15.0,1.0,3.0,5.4085579480349875,14.491549934240654
nmax1,1.25,12.5,1.0,2.5,12.0689026044865,2.2130296579267634
nmax2,3.5,35.0,1.0,7.0,10.188129172937888,18.808048657150167
nmax3,0.5,5.0,1.0,1.0,1.4304448845398954,1.5738623389928963
krb00,-31.0,-3.1,1.0,-6.2,-29.628187212931604,-30.316444115285087
krb01,-17.5,-1.75,1.0,-3.5,-17.462057249687494,-4.847899500103132
krb02,-17.5,-1.75,1.0,-3.5,-5.723585829707915,-11.913198925869509
krb03,-25.25,-2.525,1.0,-5.05,-6.892436452095602,-9.773244271036
krb10,-26.0,-2.6,1.0,-5.2,-3.436023146405102,-8.429555010762364
krb11,-22.5,-2.25,1.0,-4.5,-10.193122015708969,-8.887116199820118
krb12,-32.5,-3.25,1.0,-6.5,-14.66918837365695,-9.288923978347231
krb20,-41.0,-4.1,1.0,-8.2,-31.151213648055954,-24.457640599607636
krb21,-31.5,-3.15,1.0,-6.3,-14.864943953271336,-31.10400566246131
krb22,-27.5,-2.75,1.0,-5.5,-26.72070337259847,-27.3029923850395
cfall00,0.00075,0.0075,1.0,0.0015,0.0008130812131773058,0.0047236328938644245
cfall01,0.025,0.25,1.0,0.05,0.047375658651037225,0.02652179694316363
cfall02,0.0375,0.375,1.0,0.075,0.05935997303410444,0.3748242748143264
cfall03,0.003,0.03,1.0,0.006,0.021118452127632033,0.029794920898548703
cfall10,0.4,4.0,1.0,0.8,2.1704103535445416,3.2128714414460973
cfall11,0.1,1.0,1.0,0.2,0.6492599731033352,0.14014832430178015
cfall12,0.002,0.02,1.0,0.004,0.0046864071451823055,0.0023762549883264267
cfall20,0.0065,0.065,1.0,0.013,0.029928524013239713,0.06464927784851263
cfall21,0.05,0.5,1.0,0.1,0.21136573759927998,0.0812107250264093
cfall22,0.0075,0.075,1.0,0.015,0.016708553599608968,0.03610174419804882
nfall00,0.005,0.05,0.0,0.01,0.008665878827686702,0.02849522513317195
nfall01,0.004,0.04,0.0,0.008,0.015966250238428382,0.00880369012893152
nfall02,0.004,0.04,0.0,0.008,0.024222655990463474,0.036335099789710175
nfall10,0.0055,0.05499999999999999,0.0,0.011,0.00584895221437986,0.01011761748364429
nfall11,0.004,0.04,0.0,0.008,0.022981599379104066,0.004527123559907737
nfall12,0.004,0.04,0.0,0.008,0.004840507698387943,0.02911460235053432
nfall20,4.0e-5,0.0004,0.0,8.0e-5,4.116045733217192e-5,5.1398888403993896e-5
nfall21,4.0e-5,0.0004,0.0,8.0e-5,0.00014449085609132754,4.1690341315269866e-5
nfall22,4.0e-5,0.0004,0.0,8.0e-5,7.610369557782337e-5,5.881902328150843e-5
nfall23,4.0e-5,0.0004,0.0,8.0e-5,6.255121117089611e-5,0.0001027963958358718
