observation,model,model_1
0.91,0.21485,0.278
30.87,0.01011,0.00737
498.69,38.29441,14.92222
0.41,0.0,0.0
2.47,1.31345,0.84946
11.82,0.28092,0.0
0.99,0.10522,0.0
8.33,8.06251,8.328
93.25,0.00828,0.00533
13.28,0.0,0.0
131.74,89.30148,116.34562
5469.13,57.26025,100.52063
731.99,23.32441,40.72452
5.6,0.14745,5.88037
0.05,0.21078,0.04473
0.16,0.00327,0.0
0.01,0.00209,0.0
0.41,0.38807,0.38807
2.37,2.57169,2.53861
0.11,0.0,0.0
7.04,10.97777,47.7803
107.98,323.87878,356.93957
1.08,2.31822,3.91382
0.1,0.1037,0.1037
