panel,metric,item,value
PFT Comparison,GPP,EverTree,-0.04930940087745461
PFT Comparison,GPP,DecidTree,-0.5662695401723568
PFT Comparison,GPP,Shrub,0.06060171567476714
PFT Comparison,GPP,Sphag,0.2146486943265894
PFT Comparison,GPP,Feather,0.12094348401289719
PFT Comparison,GPP,Lichen,0.08072443193917746
PFT Comparison,NPP,EverTree,-0.2276006089010696
PFT Comparison,NPP,DecidTree,-0.5408880464765602
PFT Comparison,NPP,Shrub,0.05229768819348108
PFT Comparison,NPP,Sphag,0.22732722396182486
PFT Comparison,NPP,Feather,0.05590207182378558
PFT Comparison,NPP,Lichen,0.07879070296717787
PFT Comparison,$C_{leaf}$,EverTree,0.10726093576306014
PFT Comparison,$C_{leaf}$,DecidTree,-0.05603444882284587
PFT Comparison,$C_{leaf}$,Shrub,-0.007057453426970928
PFT Comparison,$C_{leaf}$,Sphag,0.11569440302418718
PFT Comparison,$C_{leaf}$,Feather,0.0027975382329921833
PFT Comparison,$C_{leaf}$,Lichen,0.012977027229872078
PFT Comparison,$C_{stem}$,EverTree,-0.13698059490621528
PFT Comparison,$C_{stem}$,DecidTree,-0.4757292383197003
PFT Comparison,$C_{stem}$,Shrub,0.041781177212796845
PFT Comparison,$C_{root}$,EverTree,-0.27288618542313087
PFT Comparison,$C_{root}$,DecidTree,-0.14476629909123045
PFT Comparison,$C_{root}$,Shrub,0.11709158419443659
PFT Comparison,$N_{leaf}$,EverTree,0.20079882294313045
PFT Comparison,$N_{leaf}$,DecidTree,-0.2803308453692828
PFT Comparison,$N_{leaf}$,Shrub,-0.017466169013116595
PFT Comparison,$N_{leaf}$,Sphag,0.19693694078832646
PFT Comparison,$N_{leaf}$,Feather,0.02694612840064485
PFT Comparison,$N_{leaf}$,Lichen,0.013665520191790168
PFT Comparison,$N_{stem}$,EverTree,-0.08709445848202046
PFT Comparison,$N_{stem}$,DecidTree,-0.35566129899562743
PFT Comparison,$N_{stem}$,Shrub,0.13805283830876935
PFT Comparison,$N_{root}$,EverTree,-0.4579779182759144
PFT Comparison,$N_{root}$,DecidTree,-0.1857287695682736
PFT Comparison,$N_{root}$,Shrub,0.16964287996889657
Soil Comparison,Soils,SHLWC,-0.06441830303773305
Soil Comparison,Soils,DEEPC,0.22584746482918672
Soil Comparison,Soils,MINEC,-0.3772870190683958
Soil Comparison,Soils,AVLN,-0.0017813513890559672
