panel,metric,item,value
PFT Comparison,GPP,Larch,0.023975253945982766
PFT Comparison,GPP,DecidTree,-0.08412900948893876
PFT Comparison,GPP,Shrub,0.005234452886901685
PFT Comparison,GPP,Gram,0.00034273271876931197
PFT Comparison,NPP,Larch,0.21453188393298872
PFT Comparison,NPP,DecidTree,0.13130097468437457
PFT Comparison,NPP,Shrub,0.00258093767362199
PFT Comparison,NPP,Gram,0.0008252776118954793
PFT Comparison,$C_{leaf}$,Larch,0.06325156411762595
PFT Comparison,$C_{leaf}$,DecidTree,0.005437524407023518
PFT Comparison,$C_{leaf}$,Shrub,-0.0020963467838157382
PFT Comparison,$C_{leaf}$,Gram,0.002430637964333382
PFT Comparison,$C_{stem}$,Larch,0.0024914541345355534
PFT Comparison,$C_{stem}$,DecidTree,-0.030603691578236225
PFT Comparison,$C_{stem}$,Shrub,-0.0005524921133582932
PFT Comparison,$C_{root}$,Larch,-0.0061586898837547865
PFT Comparison,$C_{root}$,DecidTree,-0.022398995014001846
PFT Comparison,$C_{root}$,Shrub,-0.0037219294546578935
PFT Comparison,$C_{root}$,Gram,-0.004831918746781047
PFT Comparison,$N_{leaf}$,Larch,0.6080481499075322
PFT Comparison,$N_{leaf}$,DecidTree,0.02935597517648393
PFT Comparison,$N_{leaf}$,Shrub,-0.00938591904793642
PFT Comparison,$N_{leaf}$,Gram,0.00849662754475322
PFT Comparison,$N_{stem}$,Larch,-0.046955482927569625
PFT Comparison,$N_{stem}$,DecidTree,-0.03649503187536754
PFT Comparison,$N_{stem}$,Shrub,0.18877224220035618
PFT Comparison,$N_{root}$,Larch,-0.08993139121608151
PFT Comparison,$N_{root}$,DecidTree,-0.04403882008102192
PFT Comparison,$N_{root}$,Shrub,-0.010942264311758501
PFT Comparison,$N_{root}$,Gram,-0.0165592680983448
Soil Comparison,Soils,SHLWC,0.001786276190402808
Soil Comparison,Soils,DEEPC,0.012180738456511853
Soil Comparison,Soils,MINEC,-0.41908861758216653
Soil Comparison,Soils,AVLN,1.0739192358172746e-07
