panel,metric,item,value
PFT Comparison,GPP,Orthmoss,-0.032144108986291164
PFT Comparison,GPP,Salix,-0.04962848775788664
PFT Comparison,GPP,Forbs,-0.013827463522942451
PFT Comparison,GPP,Grasses,-0.04411769411122424
PFT Comparison,NPP,Orthmoss,-0.05185472784650025
PFT Comparison,NPP,Salix,-0.07591645751868098
PFT Comparison,NPP,Forbs,-0.048893773444541266
PFT Comparison,NPP,Grasses,-0.7817665424894101
PFT Comparison,$C_{leaf}$,Orthmoss,0.7838402147143868
PFT Comparison,$C_{leaf}$,Salix,0.2736224443101951
PFT Comparison,$C_{leaf}$,Forbs,-0.1137637491190021
PFT Comparison,$C_{leaf}$,Grasses,-0.00758401066728992
PFT Comparison,$C_{stem}$,Orthmoss,0.01634037387263665
PFT Comparison,$C_{root}$,Orthmoss,-0.012344746184948227
PFT Comparison,$C_{root}$,Salix,-0.16210432400800645
PFT Comparison,$C_{root}$,Forbs,-0.23028252123655904
PFT Comparison,$N_{leaf}$,Orthmoss,0.8756663393503865
PFT Comparison,$N_{leaf}$,Salix,0.6155599193189378
PFT Comparison,$N_{leaf}$,Forbs,-0.14328833033201885
PFT Comparison,$N_{leaf}$,Grasses,0.5664209086685974
PFT Comparison,$N_{stem}$,Orthmoss,0.017150190268790028
PFT Comparison,$N_{root}$,Orthmoss,-0.004383904835842849
PFT Comparison,$N_{root}$,Salix,0.3051547461789633
PFT Comparison,$N_{root}$,Forbs,-0.0019244135030447862
Soil Comparison,Soils,SHLWC,-0.001643796733795902
Soil Comparison,Soils,DEEPC,-0.019276160204926285
Soil Comparison,Soils,MINEC,0.14676689488952577
Soil Comparison,Soils,AVLN,0.00016640146714243172
