panel,metric,item,value
PFT Comparison,GPP,DecidShrub,-0.06379509980867959
PFT Comparison,GPP,EverShrub,-0.0033705548301986854
PFT Comparison,GPP,Forbs,-0.062266161504417356
PFT Comparison,GPP,Sedge,-0.0019331544147773438
PFT Comparison,GPP,Moss,-0.033463677923402546
PFT Comparison,GPP,Lichen,-0.0023309743523839757
PFT Comparison,NPP,DecidShrub,0.08827269376155034
PFT Comparison,NPP,EverShrub,0.009457265881601326
PFT Comparison,NPP,Forbs,-0.2093138888036565
PFT Comparison,NPP,Sedge,0.04116760121399649
PFT Comparison,NPP,Moss,-0.19216878104521035
PFT Comparison,NPP,Lichen,-0.026428171862493514
PFT Comparison,$C_{leaf}$,DecidShrub,0.09697941542222502
PFT Comparison,$C_{leaf}$,EverShrub,0.010561975177538221
PFT Comparison,$C_{leaf}$,Forbs,-0.015481062146218229
PFT Comparison,$C_{leaf}$,Sedge,-0.007350195628032359
PFT Comparison,$C_{leaf}$,Moss,-0.25286135578193664
PFT Comparison,$C_{leaf}$,Lichen,-0.00013193407696802245
PFT Comparison,$C_{stem}$,DecidShrub,0.2439454879270726
PFT Comparison,$C_{stem}$,EverShrub,-0.007157340375820071
PFT Comparison,$C_{stem}$,Forbs,-0.004907913942002314
PFT Comparison,$C_{root}$,DecidShrub,-0.012392172930681067
PFT Comparison,$C_{root}$,EverShrub,-0.06176519657651734
PFT Comparison,$C_{root}$,Forbs,-0.2873814150594458
PFT Comparison,$C_{root}$,Sedge,-0.014831599778782694
PFT Comparison,$N_{leaf}$,DecidShrub,0.15369373358079808
PFT Comparison,$N_{leaf}$,EverShrub,0.008190162947789894
PFT Comparison,$N_{leaf}$,Forbs,-0.014910005864871486
PFT Comparison,$N_{leaf}$,Sedge,-0.08280221979338168
PFT Comparison,$N_{leaf}$,Moss,-0.13071228449265518
PFT Comparison,$N_{leaf}$,Lichen,0.09125474807174305
PFT Comparison,$N_{stem}$,DecidShrub,0.04738609454010895
PFT Comparison,$N_{stem}$,EverShrub,-0.18067418871550148
PFT Comparison,$N_{stem}$,Forbs,0.10823796804276549
PFT Comparison,$N_{root}$,DecidShrub,0.6898266620078698
PFT Comparison,$N_{root}$,EverShrub,-0.24557656619383397
PFT Comparison,$N_{root}$,Forbs,-0.17484959909695635
PFT Comparison,$N_{root}$,Sedge,-0.007104179237896307
Soil Comparison,Soils,SHLWC,0.12785351749507323
Soil Comparison,Soils,DEEPC,-0.030918250401410025
Soil Comparison,Soils,MINEC,-0.37716151136143783
Soil Comparison,Soils,AVLN,1.3082626972474051e-06
