name,bounds,initial,cmtnum,pftnum
krb(0),"[-0.5, -3.5]",-2.0,5,0
krb(0),"[-0.3500000000000001, -2.4499999999999997]",-1.4,5,1
krb(0),"[-0.25, -1.75]",-1.0,5,2
krb(0),"[-0.25, -1.75]",-1.0,5,3
krb(0),"[-0.25, -1.75]",-1.0,5,4
krb(0),"[-1.025, -7.174999999999999]",-4.1,5,5
krb(0),"[-0.7749999999999999, -5.425000000000001]",-3.1,5,6
krb(0),"[-0.9500000000000002, -6.6499999999999995]",-3.8,5,7
krb(1),"[-1.9500000000000002, -13.649999999999999]",-7.8,5,0
krb(1),"[-1.75, -12.25]",-7.0,5,1
krb(1),"[-1.7249999999999996, -12.075000000000001]",-6.9,5,2
krb(2),"[-1.8624999999999998, -13.037500000000001]",-7.45,5,0
krb(2),"[-1.6500000000000004, -11.549999999999999]",-6.6,5,1
krb(2),"[-1.7000000000000002, -11.899999999999999]",-6.8,5,2
krb(2),"[-1.275, -8.924999999999999]",-5.1,5,3
krb(2),"[-1.4749999999999996, -10.325000000000001]",-5.9,5,4
