name,bounds,initial,cmtnum,pftnum
nmax,"[1, 10]",3.7436597454,13,0
nmax,"[1, 10]",3.71137695791,13,1
nmax,"[1, 10]",0.535881447,13,2
nmax,"[1, 10]",7.97863772,13,3
nmax,"[1, 10]",12.2566596,13,4
krb(0),"[-20, -0.1]",-5.65474327,13,0
krb(0),"[-20, -0.1]",-3.523618301,13,1
krb(0),"[-20, -0.1]",-1.08378835,13,2
krb(0),"[-20, -0.1]",-5.8730045,13,3
krb(0),"[-20, -0.1]",-3.605037832,13,4
krb(1),"[-20, -0.1]",-19.0348955,13,0
krb(1),"[-20, -0.1]",-9.0464651,13,2
krb(2),"[-20, -0.1]",-5.22159894,13,0
krb(2),"[-20, -0.1]",-4.16024081,13,2
krb(2),"[-20, -0.1]",-3.2790235,13,3
