name,bounds,initial,cmtnum,pftnum
nmax,"[2.7069728, 4.0604592]",3.383716,1,0
nmax,"[1.236704, 1.8550559999999998]",1.54588,1,1
nmax,"[0.8000336000000001, 1.2000504]",1.000042,1,2
nmax,"[2.8414096, 4.2621144]",3.551762,1,3
krb(0),"[-4.8, -7.2]",-6.0,1,0
krb(0),"[-2.7600000000000002, -4.140000000000001]",-3.45,1,1
krb(0),"[-2.3600000000000003, -3.54]",-2.95,1,2
krb(0),"[-3.72, -5.58]",-4.65,1,3
krb(1),"[-3.904, -5.856]",-4.88,1,0
krb(1),"[-4.12, -6.180000000000001]",-5.15,1,1
krb(1),"[-5.32, -7.98]",-6.65,1,2
krb(2),"[-6.56, -9.84]",-8.2,1,0
krb(2),"[-4.96, -7.44]",-6.2,1,1
krb(2),"[-2.56, -3.8400000000000003]",-3.2,1,2
